TheRowsAre,Legend,Cusparse,Global,Shared,MySparse
Bandwidth,Rows,Columns,NonZeros
0.534978,5041,5041,88472
4.656421,5041,5041,88472
5.754276,5041,5041,88472
1.586942,5041,5041,88472
