TheRowsAre,Legend,Cusparse,Global,Shared,MySparse
Bandwidth,Rows,Columns,NonZeros
0.059774,1668,1668,6209
0.468604,1668,1668,6209
0.410512,1668,1668,6209
0.306617,1668,1668,6209
