InOrder,Legend,Cusparse,Global,Shared,Sparse
Bandwidth,Rows,Columns,NonZeros
1214.987349,11999,11999,53988
2788.881365,11999,11999,53988
7023.219676,11999,11999,53988
417.775840,11999,11999,53988
