TheRowsAre,Legend,Cusparse,Global,Shared,MySparse
Bandwidth,Rows,Columns,NonZeros
11.147842,1690,860,18391
108.665421,1690,860,18391
141.795124,1690,860,18391
79.638353,1690,860,18391
